job,company_name,location,job_type,description,link,date
Consultant BIG Data SENIOR,Docaposte,Casablanca,Permanent,Vous évoluez en qualité de consultant/développeur/data-analyste sur des projets de reporting et de visualisation de données métiers des clients de BOP.,https://ma.indeed.com/rc/clk?jk=9200fab61f92376a&fccid=9f9cb7f916010480&vjs=3,28/10/2023
IT Project - Product Manager,Procter & Gamble,Casablanca,Full-time,"Experience in advance analytics & big data,.-Previous experience/understanding in data models and visualization.-PMP Certification is a plus.",https://ma.indeed.com/rc/clk?jk=c4937bf1128ec895&fccid=2da0dedf6df97194&vjs=3,28/10/2023
Proxy Product Owner EMF / Watch - Budget 2023,Orange Business,Salé,None,"Notre équipe pluridisciplinaire est composée d’une dizaine de personnes, en grande partie basée à Rabat, dans laquelle se trouve un product owner, des Business…",https://ma.indeed.com/rc/clk?jk=fa3549c1c7ca2670&fccid=24d2bacb9e5b24ee&vjs=3,28/10/2023
QA Analyst,Moody's,Casablanca,Full-time,"Experience or exposure to AWS cloud services (S3, Athena, DynamoDB, Lambdas, Step Functions, Glue Jobs…) and cloud data warehouses (Snowflake).",https://ma.indeed.com/rc/clk?jk=cb80cc41ea6cbfa3&fccid=28eefc5b86560831&vjs=3,28/10/2023
Load and DER Forecasting - Distribution Planning Researchers,Electric Power Research Institute,Remote,Full-time,Developing methods to leverage new data to improve planning load and DER forecasts.-Methods and data to develop granular load and DER forecasts for distribution…,https://ma.indeed.com/rc/clk?jk=785e5dfa8de30bb2&fccid=71084fa2202b6e9d&vjs=3,28/10/2023
Administrateur de bases de données,Anapec,Casablanca,Permanent,"Caractéristiques du poste : - Recueil et extraction des sources de données pertinentes et de qualité qu’il traduit ensuite en données statistiques - Traitement,…",https://ma.indeed.com/rc/clk?jk=062c4876256a7798&fccid=b4e8cff3793d5ae4&vjs=3,28/10/2023
Vendor Analyst,Orange Business,Salé,None,Orange Business Maroc est une entité spécialisée dans la conception et le développement de services applicatifs et l’intégration de systèmes.,https://ma.indeed.com/rc/clk?jk=8dba207db23c20ee&fccid=24d2bacb9e5b24ee&vjs=3,28/10/2023
Pricing Analyst Connectivity,Orange Business,Salé,None,L’ambition d’Orange Business est d’être le partenaire de confiance au service de la transformation digitale de ses clients.-C'est un poste à temps plein.,https://ma.indeed.com/rc/clk?jk=261654ca714c1bd5&fccid=24d2bacb9e5b24ee&vjs=3,28/10/2023
Senior IT Analyst (AA),Air Arabia,Maroc,None,"Proven skills in analyzing data, identifying pitfalls and recommending solutions.-Provides front line primary technical support to end users on various…",https://ma.indeed.com/rc/clk?jk=334e12e9ade145aa&fccid=d972ffe755c0da80&vjs=3,28/10/2023
Emerging Market Strategist- H/F/X,Société Générale,Casablanca,Permanent,Knowledge and understanding of data analysis tools and techniques.-Perform extensive analytical work for the team.,https://ma.indeed.com/rc/clk?jk=281ac9a2abc51d8d&fccid=df6948c9b8da6236&vjs=3,28/10/2023
Consultant Manager SOC (REF03),Trusted Advisors,Casablanca,None,"De formation ingénieur d’état (BAC + 5), avec une spécialisation « Sécurité des Systèmes d’Information ».-Connaissances des système et applications (Middleware,…",https://ma.indeed.com/rc/clk?jk=96879b495209717d&fccid=52c3f2e2cdde3448&vjs=3,28/10/2023
Sr. Payroll Analyst,Support Services Amazon S.A.R.L.A.U. - B98,Rabat,Full-time,Experience with advanced use of SQL for data mining and business intelligence.-Experience working with large-scale data mining and reporting tools (examples:…,https://ma.indeed.com/rc/clk?jk=aac17ceebbf60878&fccid=fe2d21eef233e94a&vjs=3,28/10/2023
Bi Data Analyst/ profil de mission H/F,Stellantis,Casablanca,None,"Job ID: 2021-9909 Career Area: Architecture Fonctionnelle Vehicule Job Category: Salaried Location: Casablanca, , Maroc Date Posted: March 2, 2023 Job…",https://ma.indeed.com/rc/clk?jk=a9849ab43245a52b&fccid=f6172562f9aeed68&vjs=3,28/10/2023
Data Science Officer,Atires Partners,Casablanca,Permanent,"Being the country-level point of contact on all data topics, to both increase data-driven approach locally, and ensure that data initiatives and capabilities…",https://ma.indeed.com/rc/clk?jk=e8d29117bd6fd8a0&fccid=03575caa10f57f32&vjs=3,28/10/2023
SAP Key User,ALSTOM,Fès,None,"The Key-User is the leader of coherence of data (Config, Extract,…) for his stream within his (her) site and perform surveys data consistency with KU from other…",https://ma.indeed.com/rc/clk?jk=d2e87ae058673573&fccid=70bbeb2771f8c8e7&vjs=3,28/10/2023
Senior IT Analyst (AA),Air Arabia,Maroc,None,"Proven skills in analyzing data, identifying pitfalls and recommending solutions.-Provides front line primary technical support to end users on various…",https://ma.indeed.com/rc/clk?jk=334e12e9ade145aa&fccid=d972ffe755c0da80&vjs=3,28/10/2023
Business Analyst Confirmé,Capgemini,Casablanca,Permanent,Analyzing our clients' business processes and functional needs.-Writing requirement specifications and functional specifications.-Facilitating a team of users.,https://ma.indeed.com/rc/clk?jk=2c6ab10050a3611c&fccid=105ecfd0283f415f&vjs=3,28/10/2023
Analyste de gestion,Anapec,Casablanca,Permanent,Caractéristiques du poste : -Suivre le portefeuille des projets de la phase d'étude/cadrage jusqu'à l'aboutissement du projet (Projets applicatifs assurance et…,https://ma.indeed.com/rc/clk?jk=035d65f3e703df68&fccid=b4e8cff3793d5ae4&vjs=3,28/10/2023
10 Stages Ressources Humaines 6 mois – Juillet ou Septembre 2023,Pernod Ricard,Maroc,Full-time +1,"Vous maîtrisez des outils du Pack Office et parlez couramment français et anglais.-Pour postuler, envoyez votre CV et votre lettre de motivation et précisez le…",https://ma.indeed.com/rc/clk?jk=53d5322fda9bf1b2&fccid=12f2838ca043e71d&vjs=3,28/10/2023
Pricing Analyst Connectivity,Orange Business,Salé,None,L’ambition d’Orange Business est d’être le partenaire de confiance au service de la transformation digitale de ses clients.-C'est un poste à temps plein.,https://ma.indeed.com/rc/clk?jk=261654ca714c1bd5&fccid=24d2bacb9e5b24ee&vjs=3,28/10/2023
Vendor Analyst,Orange Business,Salé,None,Orange Business Maroc est une entité spécialisée dans la conception et le développement de services applicatifs et l’intégration de systèmes.,https://ma.indeed.com/rc/clk?jk=8dba207db23c20ee&fccid=24d2bacb9e5b24ee&vjs=3,28/10/2023
Ingénieur logiciel Développeur,Orange Business,Salé,None,"Les utilisateurs de la plateforme EDH, des data-analystes, des data-scientistes, développeurs des Uses Cases,.-Développer et Tester ces Users Stories.",https://ma.indeed.com/rc/clk?jk=9eed8f019c27550c&fccid=24d2bacb9e5b24ee&vjs=3,28/10/2023
Business Analyst EMF / Watch - Budget 2023,Orange Business,Salé,None,"Notre équipe pluridisciplinaire est composée d’une dizaine de personnes, en grande partie basée à Rabat, dans laquelle se trouve un product owner, des Business…",https://ma.indeed.com/rc/clk?jk=7fe521f2ca117c95&fccid=24d2bacb9e5b24ee&vjs=3,28/10/2023
Business Analyst Senior (Tableau & Alteryx) - Freelance...,Trusted Advisors,Casablanca,Freelance contract,Maitrise de l’activité data- driven sur l’ensemble du cycle de vie de la valorisation d’une donnée.-Nous cherchons pour le compte d'une filiale d'une banque…,https://ma.indeed.com/rc/clk?jk=1efc9a6f9d156f2c&fccid=52c3f2e2cdde3448&vjs=3,28/10/2023
Sustainable Development Impact (SDI) Manager,Xpertize.MA,Région de Casablanca-Settat,None,"Co-ordinate an annual review of all active SDI Scorecards and RMSs, reviewing submissions from projects, checking data points and addressing any questions…",https://ma.indeed.com/rc/clk?jk=85d607ce4a1a8fd6&fccid=0281e98ef17d6eb9&vjs=3,28/10/2023
Ingénieur logiciel Développeur,Orange Business,Salé,None,"Les utilisateurs de la plateforme EDH, des data-analystes, des data-scientistes, développeurs des Uses Cases,.-Développer et Tester ces Users Stories.",https://ma.indeed.com/rc/clk?jk=9eed8f019c27550c&fccid=24d2bacb9e5b24ee&vjs=3,28/10/2023
Software Engineer,Orange Business,Salé,None,"Within a project team operating in a collaborative and Agile Scrum or Kanban mode, you will be the business intelligence designer/developer, working in…",https://ma.indeed.com/rc/clk?jk=903b28a842532593&fccid=24d2bacb9e5b24ee&vjs=3,28/10/2023
Business Analyst Senior (Tableau & Alteryx) - Freelance...,Trusted Advisors,Casablanca,Freelance contract,Maitrise de l’activité data- driven sur l’ensemble du cycle de vie de la valorisation d’une donnée.-Nous cherchons pour le compte d'une filiale d'une banque…,https://ma.indeed.com/rc/clk?jk=1efc9a6f9d156f2c&fccid=52c3f2e2cdde3448&vjs=3,28/10/2023
Digital Strategy Consultant (Technology And Digital Advantage),Boston Consulting Group,Casablanca,None,"You’ll work on a variety of digital topics, applying generalist consulting skills to strategic digital & technology questions.",https://ma.indeed.com/rc/clk?jk=564a1ce54dc79ca8&fccid=b95f9eb47968fa13&vjs=3,28/10/2023
CONSEILLER TECHNIQUE EN SYSTÈMES FINANCIERS ET ASSURANCES (FINTECH) (H/F),GIZ,Rabat,None,"Assurer la mise en œuvre technique et organisationnelle des mesures et activités liées au développement de la finance innovante et digitale (Fintechs,…",https://ma.indeed.com/rc/clk?jk=b9d4113c3096269a&fccid=0f991984628183a7&vjs=3,28/10/2023
Business Analyste- DS - Dynamics CRM 2,Orange Business,Casablanca,None,"Vous intégrez des équipes CRM spécialisées sur l'outil Microsoft Dynamics CRM, partenaire important de Microsoft dans le domaine et plusieurs fois gratifié du…",https://ma.indeed.com/rc/clk?jk=b02f029d5f945189&fccid=24d2bacb9e5b24ee&vjs=3,28/10/2023
Proxy PO - Casablanca,Sofrecom Maroc,Casablanca,None,Animer des ateliers avec les métiers pour analyser et comprendre le besoin et le traduire en user stories à destination des Data Engineer.,https://ma.indeed.com/rc/clk?jk=d59c228fcad1bc9c&fccid=24d2bacb9e5b24ee&vjs=3,28/10/2023
Data Analyst (H/F),Econocom Maroc,None,Full-time,"Expériences sur des outils de data computing distribués comme Spark, Hadoop, Map/Reduce….-Maitrise des langages SQL, Python, R permettant de manipuler de large…",https://ma.indeed.com/company/Econocom-Maroc/jobs/Analyste-6bcacbf2f0bb2d37?fccid=b265df1025d6ca7b&vjs=3,28/10/2023
Biostatisticien Data sciences/Data analyst,ALTEN,Rabat,Full-time,"Data Management, Analyse statistique, rédaction de rapport et présentation au client d’études procédurées, en environnement GMP/BPF.",https://ma.indeed.com/rc/clk?jk=f56c1343bf9c9d93&fccid=f452ff89851e4578&vjs=3,28/10/2023
Data Analyst - H/F,Bénin Digital,None,Full-time,Il devra identifier les écarts et dysfonctionnements et être en mesure de les présenter et les argumenter dans des instances spécifiques(ateliers) ou…,https://ma.indeed.com/company/B%C3%A9nin-Digital/jobs/Analyste-071261c087b7342a?fccid=f07e2ca87617d66b&vjs=3,28/10/2023
Data analysis,Ad Scalio SARL,None,Full-time +1,The ideal candidate will have a strong passion for data analysis and the ability to turn complex data sets into actionable insights to drive business decisions.,https://ma.indeed.com/company/Ad-Scalio-SARL/jobs/Data-Analysis-2a97c5c79f05a4b0?fccid=9a120ba192d11dd9&vjs=3,28/10/2023
Data Analyst / Recovery,ALTEN,Rabat,Full-time,Alten recherche un Ingénieur Data recovery.-Anticiper les plaintes clients et traiter les recovery en avance de phase.,https://ma.indeed.com/rc/clk?jk=b4a795c365c11719&fccid=f452ff89851e4578&vjs=3,28/10/2023
CONSULTANT DATA ANALYSTE - H/F,Bénin Digital,None,Full-time,Expertise en accompagnement/coaching data.-Accompagnement / coaching des équipes internes sur l’intégration de la data dans leur processus de décision et de…,https://ma.indeed.com/company/B%C3%A9nin-Digital/jobs/Consultant-Data-6d1ba1cbaab79249?fccid=f07e2ca87617d66b&vjs=3,28/10/2023
Data Scientist,lafargeholcim,Settat,None,"Present information using data visualization techniques.-Manage the processing of structured and unstructured data.-Familiar with Java, Scala or C++.",https://ma.indeed.com/rc/clk?jk=5ae1595d33f99d05&fccid=a39549c85aefc9a6&vjs=3,28/10/2023
Agile Busines Analyst/Support,ALTEN,Rabat,Full-time,Pour notre client Grand compte secteur Automobile développe et met en place un périmètre applicatif large au sein de ses différentes directions informatiques …,https://ma.indeed.com/rc/clk?jk=1870b0c3ccbbff36&fccid=f452ff89851e4578&vjs=3,28/10/2023
Research Analyst Intern,IFRIA,None,Internship,"Data analysis, data visualization, and econometric modeling skills are preferred.-Gathering, validating, and analyzing data that influences high-level public…",https://ma.indeed.com/company/Lixia-Capsia-Gestionis/jobs/Research-Intern-475542da414ee25c?fccid=652ee52fab9e065d&vjs=3,28/10/2023
Stage - Analyste Data et PowerBI,Sendit.ma,None,Internship,"Créer et maintenir des dashboards PowerBI pour aider à la visualisation des données et au suivi des performances de l'entreprise.-Bac + 2 (BTS, DUT) (Exigé).",https://ma.indeed.com/company/Sendit.ma/jobs/Analyste-ef287b790e156956?fccid=5e7f8ff96db09cd7&vjs=3,28/10/2023
IT PROJECT MANAGER,cloudlink,None,Apprenticeship,"Strong ethical and professional behavior, respecting confidentiality and data privacy.-Collaborating with team members across different IT domains (e.g.,…",https://ma.indeed.com/company/Cloudlink/jobs/IT-Project-Manager-823aba73511e1966?fccid=11c70932ef075d15&vjs=3,28/10/2023
Data Analyst sénior,ALTEN,Fès,Full-time,"Dans le cadre de la du centre de service dédié au support de l’activité BI, Alten recherche un tech lead Data & BI.-Bonne maitrise de l’outil Microsoft Excel.",https://ma.indeed.com/rc/clk?jk=ff0df17669a3643a&fccid=f452ff89851e4578&vjs=3,28/10/2023
Project manager intern,Cloudlink,None,Full-time,"Strong ethical and professional behavior, respecting confidentiality and data privacy.-Collaborating with team members across different IT domains (e.g.,…",https://ma.indeed.com/company/Cloudlink/jobs/Project-Intern-d53c2e00f2fcd40b?fccid=11c70932ef075d15&vjs=3,28/10/2023
DATA ANALYST CONFIRME - H/F,Bénin Digital,None,Full-time,Le data analyst doit être le référent de l’équipe sur les data utilisateurs disponibles.-Le data analyst doit être le référent de l’équipe de la connaissance…,https://ma.indeed.com/company/B%C3%A9nin-Digital/jobs/Analyste-4ddfa5f6dc8b07d8?fccid=f07e2ca87617d66b&vjs=3,28/10/2023
Data Engineer,cloudlink,None,Full-time +1,"Optimizing data workflows and ensuring data quality and integrity.-You will work closely with our data scientists, analysts, and stakeholders to ensure the…",https://ma.indeed.com/company/Cloudlink/jobs/Data-Engineer-335526b9d250db1b?fccid=11c70932ef075d15&vjs=3,28/10/2023
Data Product Analyste sénior,ALTEN,Rabat,Full-time,Analyse des données issues de tests électriques de puces électroniques semi-conductrices afin de définir des actions ciblées visant la production en masse ainsi…,https://ma.indeed.com/rc/clk?jk=b243bdb54079f28a&fccid=f452ff89851e4578&vjs=3,28/10/2023
Ingénieur Data Analyste Web - H/F,Bénin Digital,None,Full-time,"Rédiger en temps limité des notes d'analyse des retombées sur ces sujets (des notes quotidiennes, mensuelles, thématiques, ad hoc…).",https://ma.indeed.com/company/B%C3%A9nin-Digital/jobs/Ing%C3%A9nieur-Analyste-3f07fc8a3ca66074?fccid=f07e2ca87617d66b&vjs=3,28/10/2023
Business Analyst MOA PREVOYANCE H/F,Bénin Digital,None,Full-time,Connaissance spécifique sur l'entreprise ou sur la famille / sous-famille.-Expertise en conduite du changement / formalisation nouveaux process.,https://ma.indeed.com/company/B%C3%A9nin-Digital/jobs/Moa-Pr%C3%A9voyance-83cf9fe5c2432b93?fccid=f07e2ca87617d66b&vjs=3,28/10/2023
AMOA ANALYSTE STATISTIQUES - H/F,Bénin Digital,None,Full-time,Diplômé/ experimenté en Statistiques ou data science.-Force de proposition et Appétence au collectif.-Bénin Digital est une Entreprise de Services du Numérique …,https://ma.indeed.com/company/B%C3%A9nin-Digital/jobs/Consultant-Amoa-aa10f2a6bbf114c9?fccid=f07e2ca87617d66b&vjs=3,28/10/2023
Chargé de planification - Assurance/Assistance,Skills and Values Consulting,None,Full-time +1,"Anticiper et planifier les besoins de personnel, en fonction des prévisions d'activité.-Tenir à jour les informations concernant les salariés (présences,…",https://ma.indeed.com/company/SVC/jobs/Gestionnaire-Assurance-9cd3a6aed2eda8b4?fccid=92bbead0cfb35fdf&vjs=3,28/10/2023
Junior Digital Analyst Trainee (12 months),Syngenta Crop Protection,Casablanca,Internship,"Cultivate a data literate culture by promoting the use of data for insights and decision-making, and supporting teams in data collection and analysis processes.",https://ma.indeed.com/rc/clk?jk=77b55ffef229a093&fccid=212d266bb52619f8&vjs=3,28/10/2023
BUSINESS ANALYST CLAIM CENTER - H/F,Bénin Digital,None,Full-time,Expérience obligatoire d'au moins 3 ans sur un rôle de BA ClaimCenter.-Connaissance obligatoire du domaine assurantiel sinistre.,https://ma.indeed.com/company/B%C3%A9nin-Digital/jobs/Business-Analyst-9091394d2db3347d?fccid=f07e2ca87617d66b&vjs=3,28/10/2023
Test Analyst - H/F,Bénin Digital,None,Full-time,"Test Analyst MISSIONS Au sein du train SAFE de la Retraite Collective, le Test Analyste recherché sera intégré directement dans l’équipe produit API…",https://ma.indeed.com/company/B%C3%A9nin-Digital/jobs/Analyste-7dbbfc76004538db?fccid=f07e2ca87617d66b&vjs=3,28/10/2023
Analyste JAVA SCRIPT - H/F,Bénin Digital,None,Full-time,"Analyste JAVA SCRIPT Contexte de la mission : Dans le cadre de la TSI Gestion des Documents & Logistique, au cœur des sujets de dématérialisation des…",https://ma.indeed.com/company/B%C3%A9nin-Digital/jobs/Analyste-7873df70dd46d354?fccid=f07e2ca87617d66b&vjs=3,28/10/2023
QA Analyst,Recruit.ie,None,Full-time,"*Role/Responsibilities Work within an agile team environment to perform software verification activities. Design, develop, drive and deliver high-level…",https://ma.indeed.com/company/Recruit.ie/jobs/Quality-Assurance-Analyst-5a32e6544771d068?fccid=a5a71138afe06803&vjs=3,28/10/2023
Elasticsearch Developer for cybersecurity,ALTEN,Rabat,Full-time,"Description de l'entreprise ALTEN MAROC filiale du leader mondial de l'Ingénierie et du Conseil en Technologies (ICT), avec 40 000 collaborateurs au monde…",https://ma.indeed.com/rc/clk?jk=a88412525c357b32&fccid=f452ff89851e4578&vjs=3,28/10/2023
Data Engineer,LinkedIn Job Wrapping,Casablanca,None,"Who are we ? Artefact is a new generation of a data service provider, specialising in data consulting and data-driven information system, dedicated to…",https://ma.indeed.com/rc/clk?jk=d324caa1c9a28159&fccid=a89c98099999a09c&vjs=3,28/10/2023
Software Developer Mobile iOS,GEB ANALYSIS,None,Full-time,Missions principales Notre équipe iOS est composée d’une vingtaine de collaborateurs répartis en différents teams transverses et agiles. Au sein de cette…,https://ma.indeed.com/company/GEB-Analysis/jobs/D%C3%A9veloppeur-Ios-a5ff342924424831?fccid=025f3ac004b3bfaf&vjs=3,28/10/2023
Business Analyst Confirmé H/F,Bénin Digital,None,Full-time,"Business Analyst Confirmé CONTEXTE Le client fait évoluer l’ensemble de ses outils d’aide à la vente (OAV), et enrichit ses offres en Retraite…",https://ma.indeed.com/company/B%C3%A9nin-Digital/jobs/Business-Analyst-b4f581c6896edb2b?fccid=f07e2ca87617d66b&vjs=3,28/10/2023
Analyste de Production H/F,Bénin Digital,None,Full-time,"Analyste de Production CONTEXTE L’équipe assure l'exploitation, le suivi du RUN et s'assure de la satisfaction métier dans le cadre des conventions de…",https://ma.indeed.com/company/B%C3%A9nin-Digital/jobs/Analyste-c3d0f6bda9393127?fccid=f07e2ca87617d66b&vjs=3,28/10/2023
Senior Data Analyst,Recruit.ie,None,Full-time,"Job requirements °At least 5 years of work experience in technology, start-ups, data storage, or analysis is required; °Good understanding of DBT (Data…",https://ma.indeed.com/company/Recruit.ie/jobs/Senior-Data-Analyst-3dd13351da948d7d?fccid=a5a71138afe06803&vjs=3,28/10/2023
Business Research - Senior Research Analyst - Casablanca,Infomineo,Casablanca,Full-time,"About us Infomineo is a Brainshoring services company, supporting global clients from various geographies and industries across a range of services: Business…",https://ma.indeed.com/rc/clk?jk=28630a1fbe0565b9&fccid=2b782df55753a83d&vjs=3,28/10/2023
ANALYSTE CYBER - H/F,Bénin Digital,None,Full-time,ANALYSTE CYBER Contexte de la mission : L'équipe de détection et de réaction aux incidents de sécurité a besoin de se renforcer pour faire face à son…,https://ma.indeed.com/company/B%C3%A9nin-Digital/jobs/Analyste-0f2717c9475469f8?fccid=f07e2ca87617d66b&vjs=3,28/10/2023
Assistant Director – Senior Business Analyst,Recruit.ie,None,Full-time,"*Responsibilities: Help with requirements gathering, training, and data analysis with other members of team. * Serve as lead business analyst for various…",https://ma.indeed.com/company/Recruit.ie/jobs/Senior-Business-Analyst-e54bc14a421144d2?fccid=a5a71138afe06803&vjs=3,28/10/2023
TEST MANAGER CONFIRME - H/F,Bénin Digital,None,Full-time,TEST MANAGER CONFIRME CONTEXTE : Le Test Manager sera directement rattaché au responsable de l’équipe Run Intégration Recette. Son périmètre concerne l…,https://ma.indeed.com/company/B%C3%A9nin-Digital/jobs/Confirmateur-c2709cbd38dc938d?fccid=f07e2ca87617d66b&vjs=3,28/10/2023
Business Research - Research Analyst - Casablanca - Spanish and/or Portuguese,Infomineo,Casablanca,Full-time,"About us Infomineo is a fast-growing business insights provider, bringing brainshoring to global clients across a range of services: Business insights,…",https://ma.indeed.com/rc/clk?jk=831b2597ef59d9a5&fccid=2b782df55753a83d&vjs=3,28/10/2023
MOA Business Analyst Conception et intégration de Tests - H/F,Bénin Digital,None,Full-time,MOA Business Analyst Conception et intégration de Tests Contexte & Objectifs MOA pour accompagner les activités du service sur le back-office Pléi@de.…,https://ma.indeed.com/company/B%C3%A9nin-Digital/jobs/Business-Analyst-e98c8299b2a94770?fccid=f07e2ca87617d66b&vjs=3,28/10/2023
Analyste de Production Mainframe H/F,Bénin Digital,None,Full-time,"Activités du service Suivi du Run & Support Pilotage :*.-Suivre la disponibilité des environnements mainframe et intervenir dans le cadre des IPL, redémarrages,…",https://ma.indeed.com/company/B%C3%A9nin-Digital/jobs/Analyste-f84733db6e416974?fccid=f07e2ca87617d66b&vjs=3,28/10/2023
Business Research - Research Analyst - Casablanca - Spanish and/or Portuguese,Infomineo,Casablanca,Full-time,"Assess existing research sources and data collection strategies, while coming up with suggestions when possible.",https://ma.indeed.com/rc/clk?jk=831b2597ef59d9a5&fccid=2b782df55753a83d&vjs=3,28/10/2023
Business Research - Research Analyst - Casablanca - Italian speaker,Infomineo,Casablanca,Full-time,"Assess existing research sources and data collection strategies, while coming up with suggestions when possible.",https://ma.indeed.com/rc/clk?jk=8c6f41cb3a5d0628&fccid=2b782df55753a83d&vjs=3,28/10/2023
Senior SQL Developer,diaaland,Tanger,Full-time,"Strong working knowledge of data protection regulations and data security.-Design, develop and maintain data stores (data warehouses, data marts, and related…",https://ma.indeed.com/rc/clk?jk=84caab27537856d8&fccid=42a22e5e24f5f5e0&vjs=3,28/10/2023
Business Research - Research Team Lead / Junior Manager - Casablanca,Infomineo,Casablanca,Full-time,"Perform research, answer client requests and autonomously lead a team of analysts and associates in business and investment research.",https://ma.indeed.com/rc/clk?jk=abeecc28e74e1a30&fccid=2b782df55753a83d&vjs=3,28/10/2023
Business Research - Research Manager - Casablanca,Infomineo,Casablanca,Full-time,"Perform research, answer client requests and autonomously lead a team of analysts and associates in business and investment research.",https://ma.indeed.com/rc/clk?jk=31d74946fdc1af31&fccid=2b782df55753a83d&vjs=3,28/10/2023
Architecte – Business Analyste ClaimCenter H/F,Bénin Digital,None,Full-time,"Dans le cadre de la transformation de son Système d’Information, le client engage le Programme IND!-Connaissance obligatoire du domaine assurantiel sinistre.",https://ma.indeed.com/company/B%C3%A9nin-Digital/jobs/Business-Analyst-f19a08bf52ded029?fccid=f07e2ca87617d66b&vjs=3,28/10/2023
Business Research - Research Analyst - Casablanca - German Speaker,Infomineo,Casablanca,Full-time,"Assess existing research sources and data collection strategies, while coming up with suggestions when possible.",https://ma.indeed.com/rc/clk?jk=9cdb60bd5e7473bf&fccid=2b782df55753a83d&vjs=3,28/10/2023
